Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
"Проточный водонагреватель Electrolux SMARTFIX 2.0 T (5,5 kW) - кран",Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели проточные электрические,НС-1017839,"SMARTFIX 2.0T(5,5 kW)кран",3190.0,3190.0,2648.0,24,{'фрц Киржач': '24'}
Мат Electrolux EDAM 2-160-6 (комплект тёплого пола),Electrolux,Тепловое оборудование/Электрические теплые полы и системы антиобледенения/Нагревательные маты для теплого пола,НС-1418046,EDAM 2-160-6 (комплект),14800.0,14800.0,8436.0,1,{'екатеринбург склад': '1'}
"Мат Electrolux EEFM 2-180-0,5 (комплект теплого пола c терморегулятором)",Electrolux,Тепловое оборудование/Электрические теплые полы и системы антиобледенения/Нагревательные маты для теплого пола,НС-1432008,"EEFM 2-180-0,5 комплект",6390.0,6390.0,3642.0,4,"{'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': '2'}"
Водонагреватель Electrolux EWH 30 Formax DL,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1026259,EWH 30 Formax DL,16490.0,16490.0,13192.0,63,{'ррц Костерево (Владимирская обл.)': '63'}
Сплит-система инверторного типа Electrolux EACS/I-14HEV/N3 комплект,Electrolux,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1155801,EACS/I-14HEV/N3,69990.0,69990.0,52492.5,312,"{'ррц Орехово-Зуево (Московская обл.)': '73', 'ррц Петушки (Владимирская обл.)': '230', 'ррц Екатеринбург LV NEW': '9'}"
Блок внутренний Electrolux EACS/I-09 HEN FMI/N8_ERP/in сплит-системы,Electrolux,Кондиционирование/Мульти сплит-системы/Мульти сплит-системы свободной компоновки,НС-1381368,EACS/I-09 HEN FMI/N8_ERP/in,32400.0,32400.0,21708.0,100,"{'ррц Петушки (Владимирская обл.)': '50', 'ррц Екатеринбург LV NEW': '1', 'фрц Киржач': '49'}"
EPVS-450 Приточно-вытяжная установка,Electrolux,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-0006046,EPVS_450,115310.0,115310.0,80717.0,ожидается поставка,{}
Картридж Electrolux AM Osmo Membrane,Electrolux,Отопление и водоснабжение/Водоочистка/Картриджи для фильтров,НС-1300156,Cartridge AM Osmo Membrane,2690.0,2690.0,2098.0,38,{'фрц Киржач': '38'}
Водонагреватель Electrolux EWH 50 Centurio IQ 3.0,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1449171,EWH 50 Centurio IQ 3.0,22590.0,22590.0,18072.0,ожидается поставка,{}
Вентилятор вытяжной серии Premium EAF-150T с таймером,Electrolux,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы вытяжные бытовые,НС-1135953,EAF - 150T,6390.0,6390.0,4473.0,ожидается поставка,{}
